job_mid_cd,code,keyword
16,2225,경영관리
16,2205,기획
16,1652,경영분석
16,1624,게임기획
16,1625,경영기획
16,1653,경영컨설팅
16,1654,경영혁신(PI)
16,1626,광고기획
16,1655,금융컨설팅
16,1627,교육기획
16,1656,레벨디자인
16,1628,기술기획
16,1657,리서치
16,1629,마케팅기획
16,1630,문화기획
16,1658,데이터분석
16,1659,사업개발
16,1631,법인장
16,1632,브랜드기획
16,1660,사업관리
16,1661,사업제휴
16,1633,사업기획
16,1634,상품기획
16,1662,스토리보드
16,1663,시장조사
16,1635,서비스기획
16,1664,신사업기획
16,1636,앱기획
16,1665,신사업발굴
16,1637,웹기획
16,1666,실적관리
16,1638,인사기획
16,1639,전략기획
16,1667,엑셀러레이팅
16,1668,예산관리
16,1640,지점관리자
16,1641,출판기획
16,1669,인큐베이팅
16,1670,자료조사
16,1642,컨설턴트
16,1671,조직관리
16,1643,행사기획
16,1672,지속가능경영
16,1644,CEO
16,1673,창업컨설팅
16,1645,COO
16,1646,CTO
16,1674,타당성검토
16,1675,투자전략
16,1647,IT컨설팅
16,1648,PL(프로젝트리더)
16,1676,트렌드분석
16,1677,프로토타이핑
16,1649,PM(프로젝트매니저)
16,1650,PMO
16,1678,해외법인관리
16,1679,BPR
16,1651,PO(프로덕트오너)
16,1680,BSC
16,1681,CSR
16,1682,ESG
16,1683,ISMP
16,1684,ISP
16,1685,KPI관리
16,1686,M&A
16,1687,MBO
16,1688,OKR
16,1689,RFP(제안요청서)
16,1690,UI/UX
14,2210,홍보
14,2201,마케팅
14,1411,병원마케팅
14,1449,검색광고
14,1412,마케팅기획
14,1450,광고주관리
14,1451,광고캠페인
14,1413,마케팅전략
14,1414,블로그마케팅
14,1452,그로스해킹
14,1453,매체관리
14,1415,스포츠마케팅
14,1416,인플루언서마케팅
14,1454,배너광고
14,1455,비딩
14,1417,체험마케팅
14,1418,행사기획
14,1456,사보/뉴스레터
14,1457,사회조사
14,1419,SNS마케팅
14,1458,설문조사
14,1420,콘텐츠기획
14,1421,광고마케팅
14,1459,세일즈프로모션
14,1460,시장조사
14,1422,광고PD
14,1423,글로벌마케팅
14,1461,언론홍보
14,1462,옥외광고
14,1424,기업홍보
14,1425,디지털마케팅
14,1463,이벤트프로모션
14,1464,채널관리
14,1426,모바일마케팅
14,1427,미디어플래너
14,1465,키워드광고
14,1428,바이럴마케팅
14,1466,통계/분석
14,1467,퍼블리시티
14,1429,브랜드마케팅
14,1430,비즈니스마케팅
14,1468,ATL
14,1469,BTL
14,1431,오프라인마케팅
14,1432,온라인마케팅
14,1470,IMC
14,1471,MCN
14,1433,제휴마케팅
14,1434,조사원
14,1472,MICE
14,1473,RFP(제안요청서)
14,1435,콘텐츠마케팅
14,1474,SEO
14,1436,콘텐츠에디터
14,1437,퍼포먼스마케팅
14,1438,프로덕트마케팅
14,1439,AD(아트디렉터)
14,1440,AE(광고기획자)
14,1441,AM(어카운트매니저)
14,1442,B2B마케팅
14,1443,BM(브랜드매니저)
14,1444,CD(크리에이티브디렉터)
14,1445,CMO
14,1446,CRM마케팅
14,1447,CW(카피라이터)
14,1448,MW(메디컬라이터)
3,2238,행정사
3,2197,회계
3,2220,재무
3,321,감사
3,376,관세법인
